"id","country_id","level1_id","level2_id","level4_name","active","active_year","lat","lon","program_start","population","est_fishers","est_buyers","pathway","notes","icon_id","ModifiedTime"
"506","3","19","113","Boca Cerrada","1","FY23","15.784384","-87.094647","1/6/2017","100","25","3","RS","We have 2 active ourfish users","1","21/7/2023 19:41:44"
"467","3","17","87","Travesía","1","FY23","15.862647","-87.905586","1/1/2018","1967","60","2","RS","As rare support, by CEM. ","1","21/7/2023 19:41:50"
"466","3","17","87","Bajamar","1","FY23","15.886674","-87.859082","1/1/2018","1446","80","1","RS","As rare support, by CEM. ","1","21/7/2023 19:41:48"
"549","3","20","118","Rio Esteban","1","FY23","15.80893","-86.291479","1/1/2018","5500","35","2","RS","As rare support, by CEM. ","1","21/7/2023 19:41:50"
"470","3","17","87","Las Sabana","1","FY23","15.880825","-87.790074","1/1/2018","213","30","1","RS","As rare support, by CEM. ","1","21/7/2023 19:41:50"
"601","3","18","111","North East Bight","0","TBC","16.502985","-85.83154","1/6/2018","63","12","0","RD","As rare direct, with the support of BICA too.","1","15/4/2024 18:39:37"
"602","3","18","111","El Pelicano","1","FY23","16.448128","-85.891492","1/6/2018","606","7","0","RD","As rare direct, with the support of BICA too.","1","21/7/2023 19:41:45"
"486","3","17","112","Muchilena","1","FY23","15.700578","-88.107018","1/6/2018","630","18","1","RS","As rare support, by CEM. ","1","21/7/2023 19:41:47"
"603","3","18","111","El Cayo","1","FY23","16.441883","-85.887438","1/6/2018","2229","198","5","RD","As rare direct, with the support of BICA too.","1","21/7/2023 19:41:45"
"605","3","18","111","Savannah Bight","0","TBC","16.485041","-85.8562","1/6/2018","332","73","0","RD","As rare direct, with the support of BICA too.","1","15/4/2024 18:39:37"
"514","3","19","115","Porvenir Centro","1","FY23","15.754002","-86.895309","1/6/2018","5253","60","2","RS","We have 2 active Ourfish user.","1","21/7/2023 19:41:42"
"491","3","17","112","Barra Motagua","1","FY23","15.716164","-88.214021","1/6/2018","300","50","0","RS","As rare support, by CEM. ","1","21/7/2023 19:41:46"
"482","3","17","112","Masca","1","FY23","15.679085","-88.139079","1/6/2018","1124","24","2","RS","As rare support, by CEM. ","1","21/7/2023 19:41:46"
"492","3","17","112","Estero / Las Flores","1","FY23","15.683012","-88.163356","1/6/2018","339","27","1","RS","As rare support, by CEM. ","1","16/5/2024 23:20:42"
"497","3","17","112","Milla 3","1","FY23","15.749249","-88.067893","1/6/2018","332","18","0","RS","As rare support, by CEM. ","1","21/7/2023 19:41:47"
"500","3","17","112","Omoa casco","1","FY23","15.775965","-88.038278","1/6/2018","4816","121","4","RS","As rare support, by CEM. ","1","16/5/2024 23:21:21"
"564","3","20","120","Santa Fe","1","FY23","15.899747","-86.032417","1/1/2019","1194","30","2","RD","As rare direct","1","21/7/2023 19:41:51"
"567","3","20","120","Betulia","1","FY23","15.898171","-86.126092","1/1/2019","275","60","2","RD","As rare direct","1","25/2/2025 17:20:01"
"571","3","20","120","Quinito","1","FY23","15.880617","-86.197675","1/1/2019","303","20","1","RD","As rare direct","1","25/2/2025 17:19:26"
"2347","3","20","120","Manatí","1","FY23","15.87761","-86.207963","1/6/2019","80","5","1","RD","As rare direct","1","21/7/2023 19:41:47"
"2344","3","20","152","Puerto Castilla","1","FY23","16.00867","-85.95097","1/6/2019","919","68","5","RD","","1","20/2/2024 18:42:32"
"2345","3","20","118","Balfate","1","FY23","15.7721","-86.3941","1/6/2019","5710","50","2","RS","As rare support, by CEM. ","1","21/7/2023 19:41:41"
"2346","3","20","120","Guadalupe","1","FY23","15.897763","-86.075803","1/6/2019","1440","12","0","RD","As rare direct","1","21/7/2023 19:41:45"
"2350","3","17","87","Laguna de Alvarado","1","FY23","15.834512","-87.931503","1/6/2019","8320","315","10","RS","Se reporta 57 pescadores de la asociacion del mercado de marisco, pero hay 315 en todo alrededor de la laguna","1","21/7/2023 19:41:49"
"535","3","19","117","Miami","0","TBC","15.839579","-87.583559","1/6/2019","100","15","3","RS","Only fisher registration","1","15/4/2024 18:39:37"
"518","3","19","117","Tela Centro","1","FY23","15.783533","-87.451255","1/6/2019","45110","900","5","RS","As rare support, by CEM. Includes fishers from communities insida Tela Centro, cerritos, tornabé, and  others.","1","21/7/2023 19:41:52"
"2349","3","20","120","San Antonio","1","FY23","15.897313","-86.065464","1/6/2019","1470","17","2","RD","As rare direct","1","21/7/2023 19:41:50"
"577","3","20","121","Sangre Laya","1","FY23","15.968457","-85.094301","23/8/2019","576","30","4","RD","As rare direct","1","21/7/2023 19:41:51"
"578","3","20","121","San José de la Punta","1","FY23","15.926496","-85.151166","23/8/2019","635","20","3","RD","As rare direct","1","21/7/2023 19:41:51"
"576","3","20","121","Cocalito","1","FY23","15.971762","-85.087123","23/8/2019","446","20","2","RD","As rare direct","1","21/7/2023 19:41:44"
"575","3","20","121","Punta Piedra","1","FY23","15.886147","-85.241363","23/8/2019","816","40","3","RD","As rare direct","1","25/6/2024 20:05:28"
