country,name,label
PHL,189,Agusan Del Norte
PHL,145,Antique
HND,19,Atlántida
PHL,187,Butuan
PHL,149,Camarines Norte
PHL,148,Camarines Sur
PHL,142,Cebu
HND,20,Colón
HND,17,Cortés
PHL,186,Dinagat Islands
IDN,16,DKI Jakarta
IDN,104,East Nusa Tenggara
PHL,172,Eastern Samar
PHL,150,Iloilo
MOZ,23,Inhambane
HND,18,Islas de la Bahía
GTM,21,Izabal
PLW,188,Koror
PHL,177,Leyte
IDN,179,Maluku
MOZ,24,Maputo
PLW,106,Melekeok
MOZ,25,Nampula
PHL,146,Negros Occidental
PHL,143,Negros Oriental
PLW,120,Ngchesar
PLW,108,Ngiwal
IDN,185,North Maluku
IDN,109,North Sulawesi
PHL,144,Occidental Mindoro
PHL,190,Palawan
BRA,10,Pará
FSM,105,Pohnpei
PHL,184,Quezon
PHL,173,Samar
PHL,151,Siquijor
MOZ,76,Sofala
PHL,139,Sorsogon
IDN,14,South East Sulawesi
IDN,15,South West Papua
PHL,178,Southern Leyte
PHL,141,Surigao Del Norte
PHL,140,Surigao Del Sur
GTM,193,Test
MOZ,191,Zambezia
PHL,147,Zamboanga Sibugay
