country,level1_id,level2_id,name,label
BRA,10,345,4264,24 Travessa do Cruzeiro 
BRA,10,345,4275,4 Bocas
BRA,10,345,4273,40 do Mocooca
PHL,189,421,5520,A. Beltran
BRA,10,346,4340,Abacate
BRA,10,139,3994,Abacateiro
PHL,141,305,2159,Abad Santos
BRA,10,136,3896,Abade
PHL,172,378,4417,Abejao
PHL,145,328,2164,Abiera
PHL,189,426,5343,Abilan
PHL,190,436,5513,Abo-Abo
IDN,179,390,5022,Aboru
IDN,179,390,5026,Abubu
PHL,147,315,1905,Abunda
BRA,10,205,4150,Açaiteua
BRA,10,137,4888,Açaiteua
BRA,10,136,3897,Acampa
BRA,10,139,4358,Acarajó
BRA,10,139,4015,Acarajó Grande
BRA,10,139,4016,Acarajózinho
BRA,10,139,4028,Aciteua
PHL,189,427,5350,Aclan
BRA,10,135,4084,Açu
PHL,142,321,2710,Adela
BRA,10,145,3953,Aê
IDN,109,176,5759,Aergale
PHL,148,282,2624,Agaas
PHL,187,425,5549,Agao Poblacion
PHL,178,416,5214,Agay-Ay
PHL,148,279,2198,Agay-Ayan
PHL,144,294,1861,Agkawayan
PHL,189,426,5624,Agong-ong
BRA,10,447,5769,Agreste
BRA,10,136,3933,Água Boa
PHL,145,328,2165,Aguila
PHL,147,313,1993,Aguinaldo
PHL,187,425,5550,Agusan Pequeño
PHL,147,330,2380,Agutayan
PHL,190,430,5442,Agutayan
IDN,109,178,2879,Airbanua
PHL,184,398,4916,Ajos
IDN,179,390,5027,Akoon
PHL,172,377,4520,Alang-Alang
PHL,143,300,1941,Alangilanan
PHL,141,308,2174,Albino Taruc
PHL,186,412,5165,Albor (Pob.)
BRA,10,139,3981,Aldeia
BRA,10,139,3979,Alegre
BRA,10,346,4335,Alegre
PHL,145,332,2392,Alegria
PHL,141,305,2409,Alegria
PHL,190,434,5496,Alfonso XII (Pob.)
BRA,10,136,3950,Algodoalzinho
BRA,10,344,4701,Algodoalzinho
BRA,10,345,4305,Aliança
PHL,146,327,1768,Alimango
PHL,172,374,4443,Alingarog
PHL,172,378,4418,Alog
PHL,145,301,2653,Alojipan
IDN,14,6,4626,Alosi
PHL,142,321,2711,Altavista
BRA,10,145,3954,Alto Camapu
BRA,10,145,3955,Alto Pereru
BRA,10,448,5790,Alto Pindorama
PHL,189,426,5625,Alubijid
PHL,178,413,5180,Amaga
PHL,178,405,5083,Amagusan
PHL,173,381,5706,Amambucale
BRA,10,347,4204,Amapazinho
PHL,187,425,5551,Ambago
PHL,178,411,5156,Ambao
PHL,144,294,1862,Ambil
IDN,14,15,2575,Ambuau Togo
IDN,15,105,1112,Amdui
PHL,143,285,2585,Amdus
BRA,10,139,4030,América
BRA,10,139,4360,Americano
IDN,179,390,5024,Ameth
PHL,184,397,4913,Amontay
PHL,189,427,5351,Amontay
PHL,145,338,2940,Amparo
PHL,187,425,5642,Amparo
PHL,187,425,5552,Ampayon
IDN,14,6,1639,Ampera
