"country","year","province","municipality","community","g4_hh_average_income_source_a_income_farming","g4_hh_average_income_source_b_income_harvesting","g4_hh_average_income_source_c_income_fishing_artisanal","g4_hh_average_income_source_d_income_fishing_aquaculture","g4_hh_average_income_source_e_income_buying_trading","g4_hh_average_income_source_f_income_processing","g4_hh_average_income_source_g_income_extraction","g4_hh_average_income_source_h_income_tourism","g4_hh_average_income_source_i_income_other_wage","g4_hh_average_income_source_j_income_industrial","g4_hh_average_income_source_k_income_other"
"HND","2021","Colón","Limón","Limón",0,0,10,0,0,0,0,0,0,0,90
"HND","2021","Colón","Limón","Limón",0,0,50,0,0,0,0,0,0,0,50
"HND","2021","Colón","Santa Rosa de Aguan","Dos Bocas",0,0,100,0,0,0,0,0,0,0,0
"HND","2021","Colón","Iriona","Cocalito",0,0,100,0,0,0,0,0,0,0,0
"HND","2021","Colón","Santa Rosa de Aguan","Dos Bocas",0,0,100,0,0,0,0,0,0,0,0
"HND","2021","Colón","Santa Rosa de Aguan","Dos Bocas",0,0,100,0,0,0,0,0,0,0,0
"HND","2021","Colón","Santa Fé","Santa Fe",0,0,0,0,50,0,0,0,50,0,0
"HND","2021","Colón","Santa Fé","Quinito",0,0,90,0,0,0,0,0,0,0,10
"HND","2021","Colón","Santa Fé","Guadalupe",30,0,0,0,0,0,0,0,0,0,70
"HND","2021","Colón","Iriona","Cusuna",50,0,50,0,0,0,0,0,0,0,0
"HND","2021","Colón","Iriona","Cusuna",90,0,0,0,0,0,0,0,0,0,10
"HND","2021","Colón","Iriona","San José de la Punta",0,0,0,100,0,0,0,0,0,0,0
"HND","2021","Colón","Santa Rosa de Aguan","Dos Bocas",0,0,0,0,0,0,0,0,0,100,0
"HND","2021","Colón","Iriona","Sangre Laya",50,0,50,0,0,0,0,0,0,0,0
"HND","2021","Colón","Santa Rosa de Aguan","Dos Bocas",0,0,100,0,0,0,0,0,0,0,0
"HND","2021","Colón","Santa Rosa de Aguan","Dos Bocas",0,0,100,0,0,0,0,0,0,0,0
"HND","2021","Colón","Santa Rosa de Aguan","Dos Bocas",0,0,50,0,50,0,0,0,0,0,0
"HND","2021","Colón","Trujillo","San Martín",0,0,50,0,0,0,0,0,0,50,0
"HND","2021","Colón","Trujillo","Cristales",0,0,60,0,0,0,0,0,0,0,40
"HND","2021","Colón","Santa Fé","Santa Fe",0,0,50,0,0,0,0,0,50,0,0
"HND","2021","Colón","Santa Fé","Santa Fe",50,0,0,0,0,0,0,0,50,0,0
"HND","2021","Colón","Santa Fé","Guadalupe",0,0,0,0,0,0,0,0,0,0,100
"HND","2019","Islas de la Bahía","Guanaja","El Pelicano",0,0,30,0,70,0,0,0,0,0,0
"HND","2019","Islas de la Bahía","Guanaja","El Cayo",0,0,0,0,0,0,40,60,0,0,0
"HND","2019","Islas de la Bahía","Guanaja","Savannah Bight",0,0,0,0,0,0,0,0,100,0,0
"HND","2019","Islas de la Bahía","Guanaja","Savannah Bight",0,0,100,0,0,0,0,0,0,0,0
"HND","2019","Islas de la Bahía","Guanaja","Mangrove Bight",0,0,75,0,0,0,0,0,25,0,0
"HND","2019","Islas de la Bahía","Guanaja","Mangrove Bight",0,0,0,0,0,0,0,0,100,0,0
"HND","2019","Islas de la Bahía","Guanaja","Savannah Bight",0,0,0,0,0,0,0,0,100,0,0
"HND","2019","Cortés","Puerto Cortés","Bajamar",25,0,50,0,0,25,0,0,0,0,0
"HND","2019","Cortés","Puerto Cortés","Bajamar",0,0,0,0,100,0,0,0,0,0,0
"HND","2019","Cortés","Puerto Cortés","Bajamar",0,0,0,0,100,0,0,0,0,0,0
"HND","2019","Cortés","Puerto Cortés","Bajamar",0,0,0,0,100,0,0,0,0,0,0
"HND","2019","Cortés","Puerto Cortés","Bajamar",0,0,0,0,70,0,0,0,30,0,0
"HND","2019","Cortés","Puerto Cortés","Bajamar",0,0,0,0,100,0,0,0,0,0,0
"HND","2019","Cortés","Puerto Cortés","Bajamar",0,0,0,0,100,0,0,0,0,0,0
"HND","2019","Cortés","Puerto Cortés","Travesía",100,0,0,0,0,0,0,0,0,0,0
"HND","2019","Cortés","Puerto Cortés","Travesía",0,0,0,0,100,0,0,0,0,0,0
"HND","2019","Cortés","Puerto Cortés","Travesía",0,0,0,0,100,0,0,0,0,0,0
"HND","2019","Cortés","Puerto Cortés","Travesía",0,0,0,0,100,0,0,0,0,0,0
"HND","2019","Cortés","Puerto Cortés","Travesía",0,0,50,0,50,0,0,0,0,0,0
"HND","2019","Cortés","Puerto Cortés","Bajamar",0,0,40,0,0,0,0,0,0,0,60
"HND","2019","Cortés","Puerto Cortés","Travesía",0,0,50,0,50,0,0,0,0,0,0
"HND","2019","Cortés","Puerto Cortés","Travesía",0,0,50,0,50,0,0,0,0,0,0
"HND","2019","Cortés","Puerto Cortés","Travesía",0,0,50,0,0,0,0,0,0,0,50
"HND","2019","Cortés","Puerto Cortés","Travesía",0,0,0,0,100,0,0,0,0,0,0
"HND","2019","Cortés","Omoa","Omoa",0,0,100,0,0,0,0,0,0,0,0
"HND","2019","Cortés","Omoa","Omoa",0,0,50,0,0,0,0,0,0,50,0
"HND","2019","Cortés","Puerto Cortés","Las Sabana",50,0,0,0,50,0,0,0,0,0,0
"HND","2019","Cortés","Puerto Cortés","Travesía",0,0,30,0,0,0,0,0,0,0,70
"HND","2019","Cortés","Puerto Cortés","Travesía",0,0,30,0,0,0,0,0,0,0,70
"HND","2019","Cortés","Puerto Cortés","Travesía",50,0,0,0,50,0,0,0,0,0,0
"HND","2019","Cortés","Puerto Cortés","Travesía",50,0,0,0,50,0,0,0,0,0,0
"HND","2021","Colón","Trujillo","Jericó",0,0,50,0,0,0,0,0,50,0,0
"HND","2021","Colón","Trujillo","Jericó",0,0,100,0,0,0,0,0,0,0,0
"HND","2021","Colón","Trujillo","Capiro",0,0,100,0,0,0,0,0,0,0,0
"HND","2019","Islas de la Bahía","Guanaja","El Pelicano",0,0,30,0,0,0,0,0,0,70,0
"HND","2019","Islas de la Bahía","Guanaja","El Cayo",0,0,0,0,0,0,0,0,100,0,0
"HND","2019","Cortés","Omoa","Omoa",0,0,0,0,90,10,0,0,0,0,0
"HND","2019","Cortés","Omoa","Omoa",45,0,55,0,0,0,0,0,0,0,0
"HND","2019","Cortés","Omoa","Omoa",0,0,50,0,20,0,0,0,0,0,30
"HND","2019","Cortés","Omoa","Muchilena",45,0,45,0,0,10,0,0,0,0,0
"HND","2019","Cortés","Omoa","Masca",50,0,50,0,0,0,0,0,0,0,0
